Prioridade,Horizonte_Dias,Horizonte,Modelo,MAE,RMSE,WAPE_pct,Folds
P3,4,D+4,Seasonal7,79.56018518518519,118.38779630003964,38.60955464165774,4
P3,4,D+4,XGBoost,90.88480516716287,124.09793758331529,40.847367871640515,4
P3,4,D+4,Persistence,92.46851851851852,125.39914181602401,47.61926233405202,4
P3,4,D+4,RandomForest,99.2024680978841,140.17441243227017,47.06775072261824,4
P3,5,D+5,RollingMean7,78.31272893772893,109.54971792039593,37.70245941879934,4
P3,5,D+5,Seasonal7,80.58076923076923,118.82804926483836,38.39983211147334,4
P3,5,D+5,Persistence,92.19358974358974,127.87259430355131,46.32583833391103,4
P3,5,D+5,XGBoost,93.1574634674268,125.73020218449386,41.22766747633743,4
P3,5,D+5,RandomForest,102.46513255932356,146.4329576885537,48.04691279963265,4
P3,6,D+6,Seasonal7,81.41,119.52697596156965,38.209957328478346,4
P3,6,D+6,RollingMean7,81.97547619047619,113.03329990153478,38.80478032702156,4
P3,6,D+6,Persistence,88.625,130.79671081546076,43.41603231346609,4
P3,6,D+6,XGBoost,95.13827849706013,126.61092054810783,41.37541842999828,4
P3,6,D+6,RandomForest,104.48397451132554,146.90611036367557,48.072875820881976,4
P3,7,D+7,Persistence,82.32291666666667,120.46983920596183,38.25085949110901,4
P3,7,D+7,Seasonal7,82.32291666666667,120.46983920596183,38.25085949110901,4
P3,7,D+7,RollingMean7,84.96994047619049,116.14475379179953,39.56309489946706,4
P3,7,D+7,XGBoost,96.954318634669,127.67361499472119,41.48498782524965,4
P3,7,D+7,RandomForest,103.78614936549954,144.9679800002168,46.88178068488481,4
